order_id,order_date,customer_id,customer_city,customer_segment,product_category,product_name,quantity,unit_price,discount,shipping_mode,is_returned
1001,1/3/2023,C201,Karachi,Consumer,Electronics,Wireless Headphones,1,4500,0.05,Standard,0
1002,1/5/2023,C034,Lahore,Corporate,Office Supplies,Stapler Set,3,850,0,Economy,0
1003,1/7/2023,C178,Islamabad,Consumer,Clothing,Winter Jacket,2,3200,0.1,Express,0
1004,1/10/2023,C092,Peshawar,Home Office,Furniture,Desk Chair,1,18000,0.15,Standard,0
1005,1/12/2023,C201,Karachi,Consumer,Electronics,USB-C Hub,2,1200,0,Economy,0
1006,1/15/2023,C310,Quetta,Corporate,Office Supplies,Printer Paper,10,450,0.05,Economy,0
1007,1/18/2023,C045,Lahore,Consumer,Clothing,Running Shoes,1,6500,0.2,Express,1
1008,1/20/2023,C088,Karachi,Corporate,Electronics,Laptop Stand,1,2800,0,Standard,0
1009,1/22/2023,C156,Islamabad,Consumer,Food & Beverage,Green Tea Pack,5,320,0,Economy,0
1010,1/25/2023,C034,Lahore,Corporate,Furniture,Bookshelf,1,12000,0.1,Standard,0
1011,2/1/2023,C290,Karachi,Consumer,Electronics,Bluetooth Speaker,1,3500,0.05,Express,0
1012,2/3/2023,C112,Peshawar,Home Office,Office Supplies,Notebook Bundle,4,600,0,Economy,0
1013,2/7/2023,C178,Islamabad,Consumer,Clothing,Formal Shirt,3,1800,0.1,Standard,0
1014,2/10/2023,C067,Lahore,Corporate,Electronics,Wireless Mouse,2,950,0,Economy,0
1015,2/14/2023,C201,Karachi,Consumer,Food & Beverage,Coffee Beans 1kg,2,1500,0,Express,0
1016,2/16/2023,C310,Quetta,Corporate,Furniture,Filing Cabinet,1,9500,0.15,Standard,0
1017,2/19/2023,C045,Lahore,Consumer,Electronics,Smart Watch,1,22000,0.05,Express,0
1018,2/22/2023,C388,Islamabad,Home Office,Office Supplies,Whiteboard,1,4200,0,Standard,0
1019,2/25/2023,C092,Peshawar,Consumer,Clothing,Denim Jeans,2,2400,0.1,Economy,1
1020,2/28/2023,C156,Islamabad,Corporate,Electronics,Monitor 24in,1,35000,0.05,Standard,0
1021,3/2/2023,C201,Karachi,Consumer,Food & Beverage,Protein Powder,1,4800,0,Economy,0
1022,3/5/2023,C034,Lahore,Corporate,Office Supplies,Desk Organizer,2,750,0,Express,0
1023,3/8/2023,C290,Karachi,Consumer,Clothing,Sports T-Shirt,4,900,0.05,Economy,0
1024,3/12/2023,C178,Islamabad,Home Office,Furniture,Office Desk,1,25000,0.1,Standard,0
1025,3/15/2023,C112,Peshawar,Consumer,Electronics,Power Bank,2,2200,0,Economy,0
1026,3/18/2023,C067,Lahore,Corporate,Electronics,Keyboard Mechanical,1,5500,0.05,Express,0
1027,3/20/2023,C388,Islamabad,Consumer,Food & Beverage,Organic Honey,3,1100,0,Economy,0
1028,3/23/2023,C045,Lahore,Consumer,Clothing,Leather Wallet,2,1600,0.1,Standard,0
1029,3/26/2023,C310,Quetta,Corporate,Office Supplies,Pen Set Premium,5,380,0,Economy,0
1030,3/29/2023,C201,Karachi,Consumer,Electronics,Tablet 10in,1,45000,0.05,Express,0
1031,4/2/2023,C156,Islamabad,Home Office,Furniture,Study Lamp,2,2100,0,Standard,0
1032,4/5/2023,C092,Peshawar,Consumer,Clothing,Casual Sneakers,1,5800,0.15,Express,1
1033,4/8/2023,C034,Lahore,Corporate,Electronics,Webcam HD,1,3800,0,Economy,0
1034,4/11/2023,C290,Karachi,Consumer,Food & Beverage,Mixed Nuts Pack,4,850,0.05,Economy,0
1035,4/14/2023,C178,Islamabad,Consumer,Office Supplies,Planner 2023,1,620,0,Standard,0
1036,4/17/2023,C067,Lahore,Corporate,Furniture,Conference Table,1,55000,0.1,Standard,0
1037,4/20/2023,C112,Peshawar,Consumer,Electronics,Earbuds TWS,1,4100,0.05,Express,0
1038,4/23/2023,C388,Islamabad,Home Office,Clothing,Formal Blazer,1,7200,0,Standard,0
1039,4/26/2023,C045,Lahore,Consumer,Food & Beverage,Instant Noodles 12pk,3,480,0,Economy,0
1040,4/29/2023,C201,Karachi,Corporate,Electronics,External SSD 1TB,1,12500,0.05,Express,0
1041,5/2/2023,C310,Quetta,Consumer,Clothing,Summer Dress,2,2600,0.1,Economy,0
1042,5/5/2023,C156,Islamabad,Home Office,Office Supplies,Sticky Notes Bulk,6,290,0,Economy,0
1043,5/8/2023,C034,Lahore,Corporate,Furniture,Ergonomic Chair,1,32000,0.15,Standard,0
1044,5/11/2023,C290,Karachi,Consumer,Electronics,Gaming Mouse,1,3200,0.05,Express,0
1045,5/14/2023,C092,Peshawar,Consumer,Food & Beverage,Whey Protein,1,5200,0,Economy,0
1046,5/17/2023,C178,Islamabad,Consumer,Clothing,Polo Shirt 3pk,1,2700,0.05,Standard,0
1047,5/20/2023,C067,Lahore,Corporate,Electronics,Router WiFi 6,1,8900,0,Express,0
1048,5/23/2023,C388,Islamabad,Home Office,Furniture,Wall Shelves,2,3400,0.1,Standard,0
1049,5/26/2023,C045,Lahore,Consumer,Food & Beverage,Dark Chocolate 6pk,3,650,0,Economy,0
1050,5/29/2023,C201,Karachi,Consumer,Electronics,Smart Home Hub,1,15000,0.05,Express,0
